STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211012,152405,16794,12.71,33.59,49.89,53.15,20.9,47.9,38.10,78.24,100.11,104.02,104.67,1.11,0,0,3.71,16.9,60.7,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211012,152406,17862,18.73,48.04,70.90,75.47,20.9,47.8,59.74,116.99,147.66,153.15,154.05,1.23,0,0,3.71,16.9,60.5,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211012,152408,18938,19.31,52.33,78.16,83.32,21.0,47.8,54.73,117.42,152.04,158.24,159.26,1.35,0,0,3.71,17.0,60.5,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211012,152409,20006,18.49,46.67,68.62,73.01,20.9,47.6,60.80,116.34,145.81,151.08,151.95,1.23,0,0,3.71,16.9,60.3,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211012,152410,21074,18.59,47.25,69.58,74.04,20.9,47.6,60.32,116.58,146.56,151.92,152.80,1.25,0,0,3.70,16.9,60.2,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211012,152411,22142,18.21,44.83,65.52,69.66,21.0,47.5,62.64,115.84,143.64,148.62,149.44,1.21,0,0,3.71,17.0,60.2,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211012,152413,23218,17.88,43.19,62.84,66.77,21.0,47.5,63.59,114.76,141.16,145.88,146.66,1.20,0,0,3.70,17.0,60.1,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211012,152414,24286,17.87,43.68,63.75,67.76,21.0,47.4,62.23,114.05,141.00,145.82,146.62,1.20,0,0,3.70,17.0,60.0,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211012,152415,25354,17.70,42.97,62.60,66.53,21.0,47.4,62.33,113.27,139.65,144.37,145.15,1.19,0,0,3.70,17.0,60.0,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211012,152416,26430,17.45,41.78,60.65,64.43,21.0,47.4,62.94,112.38,137.76,142.29,143.04,1.19,0,0,3.70,17.0,60.0,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211012,152417,27498,17.20,40.62,58.78,62.41,21.0,47.4,63.42,111.43,135.84,140.21,140.93,1.17,0,0,3.71,17.0,60.0,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211012,152418,28567,17.10,40.49,58.62,62.25,21.0,47.3,62.78,110.65,135.03,139.39,140.11,1.18,0,0,3.70,17.0,59.9,1D6
12,0.000000,0.000000,0,-1.0,0.0,0,20211012,152419,29643,17.06,40.80,59.22,62.90,21.0,47.3,61.66,109.95,134.70,139.13,139.86,1.19,0,0,3.70,17.0,59.9,1D6
13,0.000000,0.000000,0,-1.0,0.0,0,20211012,152420,30712,16.98,41.04,59.72,63.45,21.0,47.3,60.30,108.92,134.03,138.52,139.26,1.20,0,0,3.70,17.0,59.9,1D6
14,0.000000,0.000000,0,-1.0,0.0,0,20211012,152421,31781,16.78,40.29,58.54,62.19,21.0,47.2,60.22,107.93,132.45,136.84,137.56,1.19,0,0,3.70,17.0,59.8,1D6
15,0.000000,0.000000,0,-1.0,0.0,0,20211012,152422,32850,16.62,39.90,57.96,61.58,21.0,47.1,59.69,106.92,131.20,135.55,136.26,1.19,0,0,3.70,17.0,59.6,1D6
16,0.000000,0.000000,0,-1.0,0.0,0,20211012,152423,33926,16.35,39.19,56.92,60.46,21.0,46.8,58.83,105.23,129.05,133.32,134.02,1.19,0,0,3.70,17.0,59.2,1D6
17,0.000000,0.000000,0,-1.0,0.0,0,20211012,152424,34995,15.98,37.96,55.01,58.42,21.0,46.4,58.35,103.25,126.16,130.26,130.94,1.18,0,0,3.70,17.0,58.8,1D6
18,0.000000,0.000000,0,-1.0,0.0,0,20211012,152426,36064,15.65,37.01,53.57,56.89,21.0,46.1,57.53,101.29,123.55,127.54,128.19,1.18,0,0,3.70,17.0,58.4,1D6
19,0.000000,0.000000,0,-1.0,0.0,0,20211012,152427,37140,15.34,36.50,52.91,56.19,21.0,45.9,55.91,99.09,121.14,125.09,125.74,1.19,0,0,3.70,17.0,58.0,1D6
20,0.000000,0.000000,0,-1.0,0.0,0,20211012,152428,38209,14.85,35.09,50.78,53.92,21.0,45.6,54.68,96.16,117.26,121.03,121.65,1.18,0,0,3.70,17.0,57.7,1D6
21,0.000000,0.000000,0,-1.0,0.0,0,20211012,152429,39277,14.34,33.69,48.67,51.67,21.0,45.4,53.31,93.10,113.26,116.87,117.46,1.18,0,0,3.70,17.0,57.4,1D6
22,0.000000,0.000000,0,-1.0,0.0,0,20211012,152430,40352,13.83,32.41,46.80,49.68,21.0,45.1,51.58,89.86,109.21,112.68,113.25,1.17,0,0,3.70,17.0,57.1,1D6
23,0.000000,0.000000,0,-1.0,0.0,0,20211012,152431,41420,13.27,30.88,44.51,47.24,21.0,44.9,50.03,86.47,104.81,108.09,108.63,1.16,0,0,3.70,17.0,56.9,1D6
24,0.000000,0.000000,0,-1.0,0.0,0,20211012,152432,42488,12.60,29.30,42.22,44.81,21.0,44.8,47.61,82.18,99.56,102.67,103.18,1.16,0,0,3.70,17.0,56.7,1D6
25,0.000000,0.000000,0,-1.0,0.0,0,20211012,152433,43555,12.01,27.96,40.31,42.78,21.0,44.7,45.24,78.24,94.86,97.83,98.32,1.17,0,0,3.70,17.0,56.6,1D6
26,0.000000,0.000000,0,-1.0,0.0,0,20211012,152434,44627,11.14,26.08,37.64,39.96,21.1,44.6,41.67,72.46,88.02,90.80,91.26,1.17,0,0,3.70,17.1,56.5,1D6
27,0.000000,0.000000,0,-1.0,0.0,0,20211012,152435,45703,10.72,25.08,36.21,38.44,21.0,44.5,40.05,69.67,84.64,87.32,87.76,1.17,0,0,3.70,17.0,56.3,1D6
28,0.000000,0.000000,0,-1.0,0.0,0,20211012,152436,46779,10.25,24.02,34.69,36.83,21.1,44.5,38.23,66.60,80.95,83.52,83.94,1.17,0,0,3.70,17.1,56.3,1D6
29,0.000000,0.000000,0,-1.0,0.0,0,20211012,152437,47851,9.78,22.80,32.88,34.89,21.1,44.4,36.81,63.72,77.27,79.70,80.10,1.17,0,0,3.70,17.1,56.3,1D6
30,0.000000,0.000000,0,-1.0,0.0,0,20211012,152437,48926,9.37,21.63,31.12,33.01,21.1,44.5,35.80,61.30,74.06,76.34,76.72,1.16,0,0,3.70,17.1,56.3,1D6
31,0.000000,0.000000,0,-1.0,0.0,0,20211012,152439,50001,9.07,20.95,30.15,31.98,21.1,44.6,34.54,59.24,71.61,73.83,74.19,1.16,0,0,3.70,17.1,56.4,1D6
32,0.000000,0.000000,0,-1.0,0.0,0,20211012,152440,51076,8.72,20.08,28.87,30.63,21.1,44.6,33.39,57.06,68.89,71.00,71.35,1.16,0,0,3.70,17.1,56.5,1D6
33,0.000000,0.000000,0,-1.0,0.0,0,20211012,152441,52147,8.40,19.30,27.73,29.42,21.1,44.5,32.27,55.01,66.35,68.38,68.72,1.15,0,0,3.70,17.1,56.3,1D6
34,0.000000,0.000000,0,-1.0,0.0,0,20211012,152443,53222,8.07,18.47,26.52,28.13,21.1,44.4,31.15,52.91,63.73,65.67,65.99,1.15,0,0,3.69,17.1,56.2,1D6
35,0.000000,0.000000,0,-1.0,0.0,0,20211012,152444,54297,7.76,17.78,25.53,27.08,21.1,44.3,29.94,50.89,61.32,63.18,63.49,1.15,0,0,3.70,17.1,56.0,1D6
36,0.000000,0.000000,0,-1.0,0.0,0,20211012,152445,55367,7.47,17.00,24.37,25.84,21.2,44.2,29.09,49.11,59.02,60.79,61.09,1.15,0,0,3.70,17.2,55.9,1D6
37,0.000000,0.000000,0,-1.0,0.0,0,20211012,152446,56442,7.24,16.53,23.72,25.15,21.1,44.1,28.06,47.53,57.20,58.93,59.21,1.15,0,0,3.70,17.1,55.8,1D6
38,0.000000,0.000000,0,-1.0,0.0,0,20211012,152447,57516,6.99,15.99,22.95,24.35,21.2,44.1,27.06,45.90,55.26,56.94,57.21,1.15,0,0,3.70,17.2,55.8,1D6
39,0.000000,0.000000,0,-1.0,0.0,0,20211012,152448,58590,6.48,14.78,21.20,22.49,21.2,44.0,25.18,42.59,51.23,52.77,53.03,1.15,0,0,3.70,17.2,55.7,1D6
40,0.000000,0.000000,0,-1.0,0.0,0,20211012,152449,59660,6.25,14.18,20.32,21.54,21.2,44.0,24.44,41.13,49.38,50.86,51.10,1.15,0,0,3.70,17.2,55.7,1D6
41,0.000000,0.000000,0,-1.0,0.0,0,20211012,152450,60734,6.02,13.62,19.49,20.66,21.2,44.0,23.64,39.66,47.57,48.98,49.21,1.14,0,0,3.70,17.2,55.7,1D6
42,0.000000,0.000000,0,-1.0,0.0,0,20211012,152450,61808,5.82,13.17,18.85,19.98,21.2,44.0,22.85,38.35,45.99,47.36,47.58,1.14,0,0,3.70,17.2,55.6,1D6
43,0.000000,0.000000,0,-1.0,0.0,0,20211012,152452,62879,5.61,12.67,18.12,19.21,21.2,44.0,22.12,37.02,44.35,45.67,45.88,1.14,0,0,3.70,17.2,55.6,1D6
44,0.000000,0.000000,0,-1.0,0.0,0,20211012,152453,63954,5.42,12.20,17.44,18.48,21.2,44.0,21.48,35.83,42.87,44.13,44.34,1.13,0,0,3.70,17.2,55.6,1D6
45,0.000000,0.000000,0,-1.0,0.0,0,20211012,152454,65029,5.28,11.84,16.91,17.92,21.2,44.0,21.03,34.95,41.77,42.99,43.19,1.13,0,0,3.70,17.2,55.6,1D6
46,0.000000,0.000000,0,-1.0,0.0,0,20211012,152455,66103,5.19,11.49,16.36,17.33,21.2,43.9,20.95,34.45,41.00,42.17,42.36,1.12,0,0,3.70,17.2,55.6,1D6
47,0.000000,0.000000,0,-1.0,0.0,0,20211012,152456,67173,5.09,11.30,16.08,17.04,21.2,43.9,20.53,33.79,40.23,41.39,41.58,1.12,0,0,3.69,17.2,55.6,1D6
48,0.000000,0.000000,0,-1.0,0.0,0,20211012,152457,68247,5.04,11.17,15.90,16.85,21.2,44.0,20.37,33.49,39.86,40.99,41.18,1.12,0,0,3.70,17.2,55.6,1D6
49,0.000000,0.000000,0,-1.0,0.0,0,20211012,152458,69321,4.95,10.98,15.63,16.56,21.2,43.9,20.02,32.91,39.17,40.29,40.48,1.12,0,0,3.70,17.2,55.6,1D6
50,0.000000,0.000000,0,-1.0,0.0,0,20211012,152459,70392,4.88,10.82,15.39,16.31,21.3,43.9,19.74,32.43,38.60,39.70,39.88,1.12,0,0,3.69,17.3,55.5,1D6
51,0.000000,0.000000,0,-1.0,0.0,0,20211012,152500,71467,4.81,10.68,15.21,16.11,21.3,43.9,19.38,31.92,38.02,39.11,39.29,1.12,0,0,3.70,17.3,55.5,1D6
52,0.000000,0.000000,0,-1.0,0.0,0,20211012,152502,72541,4.64,10.29,14.64,15.52,21.2,43.8,18.72,30.80,36.67,37.72,37.89,1.12,0,0,3.70,17.2,55.5,1D6
53,0.000000,0.000000,0,-1.0,0.0,0,20211012,152503,73615,4.56,10.08,14.34,15.19,21.3,43.9,18.46,30.29,36.02,37.05,37.22,1.12,0,0,3.70,17.3,55.5,1D6
54,0.000000,0.000000,0,-1.0,0.0,0,20211012,152503,74685,4.51,9.94,14.12,14.95,21.3,43.9,18.36,30.02,35.65,36.66,36.83,1.12,0,0,3.69,17.3,55.6,1D6
55,0.000000,0.000000,0,-1.0,0.0,0,20211012,152505,75757,4.44,9.78,13.90,14.72,21.3,43.8,18.09,29.57,35.11,36.11,36.27,1.12,0,0,3.70,17.3,55.5,1D6
56,0.000000,0.000000,0,-1.0,0.0,0,20211012,152506,76829,4.37,9.63,13.69,14.50,21.3,43.8,17.80,29.10,34.56,35.54,35.70,1.12,0,0,3.69,17.3,55.5,1D6
57,0.000000,0.000000,0,-1.0,0.0,0,20211012,152507,77897,4.29,9.43,13.38,14.17,21.3,43.8,17.56,28.62,33.95,34.90,35.06,1.12,0,0,3.69,17.3,55.4,1D6
58,0.000000,0.000000,0,-1.0,0.0,0,20211012,152508,78970,4.26,9.41,13.39,14.18,21.3,43.8,17.30,28.34,33.69,34.65,34.81,1.12,0,0,3.70,17.3,55.4,1D6
59,0.000000,0.000000,0,-1.0,0.0,0,20211012,152509,80043,4.23,9.33,13.26,14.04,21.4,43.8,17.20,28.14,33.44,34.38,34.54,1.12,0,0,3.70,17.4,55.4,1D6
60,0.000000,0.000000,0,-1.0,0.0,0,20211012,152510,81116,4.20,9.23,13.11,13.88,21.3,43.7,17.13,27.95,33.18,34.11,34.27,1.12,0,0,3.70,17.3,55.3,1D6
61,0.000000,0.000000,0,-1.0,0.0,0,20211012,152511,82185,4.15,9.12,12.95,13.72,21.3,43.7,16.96,27.65,32.81,33.74,33.89,1.12,0,0,3.70,17.3,55.3,1D6
62,0.000000,0.000000,0,-1.0,0.0,0,20211012,152512,83258,4.14,9.12,12.95,13.72,21.3,43.8,16.83,27.53,32.70,33.62,33.77,1.12,0,0,3.69,17.3,55.4,1D6
63,0.000000,0.000000,0,-1.0,0.0,0,20211012,152513,84331,4.11,9.01,12.79,13.55,21.3,43.8,16.82,27.39,32.48,33.39,33.54,1.11,0,0,3.69,17.3,55.5,1D6
64,0.000000,0.000000,0,-1.0,0.0,0,20211012,152514,85400,4.08,8.94,12.69,13.44,21.3,43.9,16.72,27.20,32.25,33.15,33.30,1.11,0,0,3.70,17.3,55.6,1D6
65,0.000000,0.000000,0,-1.0,0.0,0,20211012,152515,86473,4.12,9.03,12.81,13.56,21.4,44.0,16.88,27.47,32.56,33.47,33.62,1.11,0,0,3.70,17.4,55.7,1D6
66,0.000000,0.000000,0,-1.0,0.0,0,20211012,152516,87545,4.12,9.02,12.80,13.55,21.4,44.0,16.96,27.53,32.62,33.52,33.67,1.11,0,0,3.69,17.4,55.7,1D6
67,0.000000,0.000000,0,-1.0,0.0,0,20211012,152518,88617,4.15,9.05,12.82,13.57,21.3,44.0,17.15,27.75,32.83,33.74,33.89,1.11,0,0,3.69,17.3,55.7,1D6
68,0.000000,0.000000,0,-1.0,0.0,0,20211012,152519,89685,4.17,9.07,12.85,13.60,21.4,44.0,17.23,27.85,32.94,33.85,34.00,1.11,0,0,3.69,17.4,55.7,1D6
69,0.000000,0.000000,0,-1.0,0.0,0,20211012,152520,90757,4.16,9.05,12.82,13.57,21.4,44.0,17.24,27.85,32.92,33.83,33.98,1.10,0,0,3.69,17.4,55.6,1D6
70,0.000000,0.000000,0,-1.0,0.0,0,20211012,152521,91829,4.15,9.01,12.75,13.50,21.4,44.0,17.26,27.82,32.86,33.76,33.91,1.10,0,0,3.69,17.4,55.6,1D6
71,0.000000,0.000000,0,-1.0,0.0,0,20211012,152522,92897,4.13,8.97,12.69,13.44,21.4,44.0,17.14,27.65,32.67,33.56,33.71,1.10,0,0,3.69,17.4,55.6,1D6
72,0.000000,0.000000,0,-1.0,0.0,0,20211012,152523,93970,4.12,8.94,12.65,13.39,21.4,44.0,17.09,27.55,32.55,33.45,33.59,1.10,0,0,3.70,17.4,55.6,1D6
73,0.000000,0.000000,0,-1.0,0.0,0,20211012,152524,95043,4.12,8.94,12.64,13.38,21.4,43.9,17.12,27.58,32.58,33.47,33.62,1.09,0,0,3.69,17.4,55.6,1D6
74,0.000000,0.000000,0,-1.0,0.0,0,20211012,152525,96116,4.10,8.88,12.57,13.30,21.5,43.9,17.06,27.46,32.42,33.31,33.46,1.09,0,0,3.69,17.5,55.5,1D6
75,0.000000,0.000000,0,-1.0,0.0,0,20211012,152526,97185,4.07,8.82,12.47,13.20,21.5,43.9,16.95,27.28,32.20,33.08,33.23,1.09,0,0,3.69,17.5,55.5,1D6
76,0.000000,0.000000,0,-1.0,0.0,0,20211012,152527,98258,4.03,8.72,12.32,13.05,21.5,43.8,16.78,26.99,31.85,32.72,32.86,1.09,0,0,3.69,17.5,55.5,1D6
77,0.000000,0.000000,0,-1.0,0.0,0,20211012,152528,99331,3.98,8.61,12.17,12.88,21.4,43.8,16.60,26.67,31.47,32.33,32.47,1.09,0,0,3.69,17.4,55.4,1D6
78,0.000000,0.000000,0,-1.0,0.0,0,20211012,152529,100400,3.96,8.55,12.08,12.79,21.5,43.8,16.52,26.53,31.29,32.14,32.28,1.09,0,0,3.70,17.5,55.4,1D6
79,0.000000,0.000000,0,-1.0,0.0,0,20211012,152531,101474,3.93,8.48,11.98,12.68,21.5,43.7,16.41,26.34,31.06,31.90,32.04,1.09,0,0,3.69,17.5,55.3,1D6
80,0.000000,0.000000,0,-1.0,0.0,0,20211012,152532,102548,3.89,8.40,11.87,12.56,21.5,43.7,16.28,26.11,30.78,31.62,31.76,1.09,0,0,3.70,17.5,55.2,1D6
81,0.000000,0.000000,0,-1.0,0.0,0,20211012,152533,103621,3.89,8.40,11.86,12.55,21.5,43.6,16.29,26.11,30.78,31.62,31.75,1.09,0,0,3.69,17.5,55.2,1D6
82,0.000000,0.000000,0,-1.0,0.0,0,20211012,152534,104690,3.88,8.37,11.82,12.51,21.5,43.6,16.25,26.04,30.70,31.53,31.67,1.09,0,0,3.69,17.5,55.2,1D6
83,0.000000,0.000000,0,-1.0,0.0,0,20211012,152535,105763,3.88,8.36,11.81,12.50,21.5,43.5,16.27,26.05,30.69,31.52,31.66,1.08,0,0,3.69,17.5,55.1,1D6
84,0.000000,0.000000,0,-1.0,0.0,0,20211012,152536,106836,3.87,8.33,11.76,12.44,21.4,43.5,16.24,25.98,30.60,31.43,31.57,1.08,0,0,3.70,17.4,55.0,1D6
85,0.000000,0.000000,0,-1.0,0.0,0,20211012,152537,107905,3.85,8.28,11.69,12.37,21.5,43.4,16.18,25.86,30.45,31.27,31.41,1.08,0,0,3.69,17.5,54.9,1D6
86,0.000000,0.000000,0,-1.0,0.0,0,20211012,152538,108979,3.85,8.28,11.68,12.36,21.5,43.4,16.21,25.89,30.48,31.30,31.43,1.08,0,0,3.69,17.5,54.8,1D6
87,0.000000,0.000000,0,-1.0,0.0,0,20211012,152539,110053,3.86,8.28,11.68,12.36,21.5,43.3,16.23,25.91,30.49,31.31,31.45,1.08,0,0,3.69,17.5,54.7,1D6
88,0.000000,0.000000,0,-1.0,0.0,0,20211012,152540,111127,3.88,8.33,11.76,12.44,21.6,43.2,16.37,26.11,30.73,31.55,31.69,1.08,0,0,3.69,17.6,54.7,1D6
89,0.000000,0.000000,0,-1.0,0.0,0,20211012,152541,112197,3.95,8.46,11.93,12.62,21.5,43.2,16.64,26.53,31.21,32.04,32.18,1.08,0,0,3.69,17.5,54.6,1D6
90,0.000000,0.000000,0,-1.0,0.0,0,20211012,152542,113271,4.04,8.65,12.19,12.90,21.6,43.2,17.06,27.18,31.95,32.81,32.95,1.08,0,0,3.69,17.6,54.6,1D6
91,0.000000,0.000000,0,-1.0,0.0,0,20211012,152544,114345,4.19,8.95,12.61,13.34,21.5,43.1,17.74,28.20,33.14,34.02,34.17,1.08,0,0,3.69,17.5,54.5,1D6
92,0.000000,0.000000,0,-1.0,0.0,0,20211012,152545,115415,4.25,9.06,12.76,13.50,21.5,43.1,18.01,28.60,33.58,34.47,34.62,1.07,0,0,3.69,17.5,54.5,1D6
93,0.000000,0.000000,0,-1.0,0.0,0,20211012,152546,116488,4.30,9.15,12.88,13.63,21.6,43.1,18.25,28.95,33.98,34.88,35.03,1.07,0,0,3.69,17.6,54.5,1D6
94,0.000000,0.000000,0,-1.0,0.0,0,20211012,152547,117561,4.38,9.31,13.10,13.86,21.6,42.8,18.64,29.52,34.63,35.54,35.69,1.07,0,0,3.69,17.6,54.1,1D6
95,0.000000,0.000000,0,-1.0,0.0,0,20211012,152548,118634,4.49,9.53,13.41,14.18,21.6,42.2,19.13,30.26,35.49,36.42,36.57,1.07,0,0,3.69,17.6,53.4,1D6
96,0.000000,0.000000,0,-1.0,0.0,0,20211012,152549,119703,4.88,10.35,14.55,15.40,21.6,41.6,20.84,32.93,38.59,39.61,39.78,1.07,0,0,3.69,17.6,52.5,1D6
97,0.000000,0.000000,0,-1.0,0.0,0,20211012,152550,120778,5.21,11.04,15.51,16.41,21.6,41.0,22.29,35.18,41.21,42.29,42.47,1.06,0,0,3.69,17.6,51.8,1D6
98,0.000000,0.000000,0,-1.0,0.0,0,20211012,152551,121853,5.58,11.80,16.58,17.53,21.6,40.5,23.90,37.68,44.12,45.27,45.46,1.06,0,0,3.69,17.6,51.2,1D6
99,0.000000,0.000000,0,-1.0,0.0,0,20211012,152552,122924,6.22,13.15,18.46,19.53,21.6,40.0,26.70,42.05,49.22,50.50,50.71,1.07,0,0,3.69,17.6,50.6,1D6
100,0.000000,0.000000,0,-1.0,0.0,0,20211012,152553,123999,6.81,14.38,20.18,21.35,21.7,39.6,29.24,46.02,53.86,55.26,55.49,1.07,0,0,3.69,17.7,50.1,1D6
101,0.000000,0.000000,0,-1.0,0.0,0,20211012,152554,125076,7.59,16.01,22.48,23.77,21.6,39.3,32.64,51.33,60.05,61.61,61.87,1.07,0,0,3.69,17.6,49.8,1D6
102,0.000000,0.000000,0,-1.0,0.0,0,20211012,152555,126153,7.98,16.83,23.62,24.98,21.7,39.2,34.37,54.01,63.17,64.81,65.08,1.07,0,0,3.69,17.7,49.5,1D6
103,0.000000,0.000000,0,-1.0,0.0,0,20211012,152557,127226,8.22,17.33,24.31,25.71,21.7,39.1,35.42,55.64,65.06,66.74,67.02,1.07,0,0,3.69,17.7,49.5,1D6
104,0.000000,0.000000,0,-1.0,0.0,0,20211012,152558,128303,8.70,18.29,25.65,27.12,21.7,39.0,37.55,58.89,68.82,70.59,70.89,1.06,0,0,3.69,17.7,49.3,1D6
105,0.000000,0.000000,0,-1.0,0.0,0,20211012,152559,129380,8.96,18.83,26.40,27.92,21.7,39.0,38.69,60.65,70.87,72.70,73.00,1.07,0,0,3.69,17.7,49.3,1D6
106,0.000000,0.000000,0,-1.0,0.0,0,20211012,152600,130453,9.18,19.30,27.06,28.61,21.7,38.9,39.67,62.18,72.65,74.52,74.83,1.07,0,0,3.69,17.7,49.2,1D6
107,0.000000,0.000000,0,-1.0,0.0,0,20211012,152601,131530,9.35,19.65,27.55,29.13,21.7,38.9,40.38,63.30,73.97,75.87,76.19,1.07,0,0,3.69,17.7,49.2,1D6
108,0.000000,0.000000,0,-1.0,0.0,0,20211012,152602,132607,9.53,20.06,28.13,29.75,21.7,38.8,41.14,64.54,75.43,77.38,77.70,1.08,0,0,3.68,17.7,49.0,1D6
109,0.000000,0.000000,0,-1.0,0.0,0,20211012,152603,133680,9.69,20.41,28.64,30.28,21.7,38.7,41.78,65.60,76.70,78.68,79.01,1.08,0,0,3.69,17.7,48.9,1D6
110,0.000000,0.000000,0,-1.0,0.0,0,20211012,152604,134757,9.81,20.67,29.01,30.67,21.7,38.6,42.26,66.38,77.62,79.63,79.97,1.07,0,0,3.69,17.7,48.8,1D6
111,0.000000,0.000000,0,-1.0,0.0,0,20211012,152605,135834,9.95,20.99,29.45,31.15,21.7,38.5,42.82,67.31,78.73,80.77,81.11,1.08,0,0,3.69,17.7,48.7,1D6
112,0.000000,0.000000,0,-1.0,0.0,0,20211012,152606,136911,10.13,21.39,30.02,31.75,21.8,38.5,43.57,68.54,80.19,82.27,82.61,1.08,0,0,3.69,17.8,48.6,1D6
113,0.000000,0.000000,0,-1.0,0.0,0,20211012,152607,137985,10.23,21.60,30.32,32.07,21.7,38.4,43.96,69.17,80.94,83.04,83.39,1.08,0,0,3.69,17.7,48.5,1D6
114,0.000000,0.000000,0,-1.0,0.0,0,20211012,152608,139052,10.28,21.72,30.50,32.26,21.7,38.3,44.14,69.50,81.34,83.46,83.81,1.08,0,0,3.69,17.7,48.5,1D6
115,0.000000,0.000000,0,-1.0,0.0,0,20211012,152610,140120,10.38,21.91,30.77,32.54,21.7,38.2,44.58,70.15,82.10,84.23,84.59,1.07,0,0,3.69,17.7,48.4,1D6
116,0.000000,0.000000,0,-1.0,0.0,0,20211012,152611,141194,10.47,22.12,31.06,32.84,21.7,38.2,45.00,70.82,82.87,85.03,85.38,1.08,0,0,3.69,17.7,48.3,1D6
117,0.000000,0.000000,0,-1.0,0.0,0,20211012,152612,142261,10.62,22.44,31.50,33.32,21.7,38.2,45.62,71.81,84.04,86.23,86.59,1.08,0,0,3.69,17.7,48.2,1D6
118,0.000000,0.000000,0,-1.0,0.0,0,20211012,152613,143329,10.65,22.50,31.59,33.41,21.8,38.1,45.74,72.00,84.27,86.46,86.82,1.08,0,0,3.69,17.8,48.2,1D6
119,0.000000,0.000000,0,-1.0,0.0,0,20211012,152614,144397,10.69,22.58,31.71,33.54,21.8,38.1,45.90,72.27,84.58,86.78,87.15,1.08,0,0,3.69,17.8,48.1,1D6
120,0.000000,0.000000,0,-1.0,0.0,0,20211012,152615,145471,10.72,22.64,31.80,33.63,21.8,38.1,46.03,72.46,84.81,87.01,87.38,1.07,0,0,3.69,17.8,48.1,1D6
121,0.000000,0.000000,0,-1.0,0.0,0,20211012,152616,146538,10.79,22.80,32.01,33.85,21.8,38.1,46.37,72.98,85.41,87.63,88.00,1.08,0,0,3.69,17.8,48.1,1D6
122,0.000000,0.000000,0,-1.0,0.0,0,20211012,152617,147605,10.87,22.94,32.20,34.05,21.8,38.1,46.73,73.50,85.99,88.23,88.60,1.07,0,0,3.69,17.8,48.1,1D6
123,0.000000,0.000000,0,-1.0,0.0,0,20211012,152618,148679,10.94,23.07,32.38,34.25,21.8,38.0,47.09,74.02,86.58,88.82,89.19,1.07,0,0,3.69,17.8,48.1,1D6
124,0.000000,0.000000,0,-1.0,0.0,0,20211012,152619,149746,11.05,23.30,32.70,34.58,21.8,38.0,47.53,74.72,87.41,89.67,90.05,1.08,0,0,3.68,17.8,48.1,1D6
125,0.000000,0.000000,0,-1.0,0.0,0,20211012,152620,150813,11.17,23.55,33.05,34.95,21.8,38.0,48.08,75.57,88.39,90.68,91.06,1.08,0,0,3.69,17.8,48.0,1D6
126,0.000000,0.000000,0,-1.0,0.0,0,20211012,152621,151880,11.28,23.76,33.34,35.25,21.8,38.0,48.60,76.32,89.25,91.55,91.94,1.08,0,0,3.69,17.8,48.0,1D6
127,0.000000,0.000000,0,-1.0,0.0,0,20211012,152621,152953,11.39,23.97,33.62,35.55,21.8,37.9,49.16,77.13,90.15,92.48,92.86,1.07,0,0,3.68,17.8,47.9,1D6
128,0.000000,0.000000,0,-1.0,0.0,0,20211012,152623,154021,11.50,24.18,33.91,35.86,21.8,37.9,49.69,77.91,91.03,93.38,93.77,1.07,0,0,3.69,17.8,47.9,1D6
129,0.000000,0.000000,0,-1.0,0.0,0,20211012,152624,155089,11.60,24.35,34.14,36.09,21.8,37.9,50.18,78.59,91.79,94.14,94.54,1.07,0,0,3.68,17.8,47.9,1D6
130,0.000000,0.000000,0,-1.0,0.0,0,20211012,152625,156164,11.78,24.67,34.55,36.53,21.8,37.9,51.11,79.88,93.21,95.59,95.99,1.07,0,0,3.69,17.8,47.9,1D6
131,0.000000,0.000000,0,-1.0,0.0,0,20211012,152627,157232,11.85,24.79,34.71,36.69,21.8,37.9,51.52,80.42,93.81,96.20,96.60,1.06,0,0,3.69,17.8,47.9,1D6
132,0.000000,0.000000,0,-1.0,0.0,0,20211012,152628,158300,11.90,24.85,34.78,36.76,21.8,37.9,51.80,80.76,94.16,96.56,96.95,1.06,0,0,3.69,17.8,47.9,1D6
133,0.000000,0.000000,0,-1.0,0.0,0,20211012,152629,159375,11.91,24.83,34.74,36.72,21.8,37.9,51.93,80.87,94.24,96.63,97.03,1.06,0,0,3.69,17.8,47.9,1D6
